trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-210.0737187080874,"{0: 22, 1: 4, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-132.62397331432555,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,6,-229.11523643158463,"{0: 16, 1: 2, 2: 4, 3: 4, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,18,-55.352700151269616,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,19,-1.744029861614527,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,7,-100.78231293278887,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,1,-93.47412748947377,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,8,-55.54381413310422,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-45.10803755968242,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,8,-43.422737166209835,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,12,-2.853580878101339,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-46.7285125721365,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-34.293865069056075,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
