trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.754316690390902}",25,6,-118.44059541078255,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.754316690390902}",25,13,-42.61472440265112,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.754316690390902}",30,0,-188.9637545597792,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.754316690390902}",20,14,-74.57846642396045,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.754316690390902}",20,7,-16.119757592522447,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-84.0077458945618,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-38.97891636412669,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-28.706222819697096,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.754316690390902}",25,12,-62.97601551710799,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.754316690390902}",20,13,-39.47578376754396,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.754316690390902}",20,15,3.7995653549519144,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-68.98064415768089,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-20.54837500229456,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.754316690390902}",30,0,-166.7786071319233,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-115.57254943403842,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-75.10692429726377,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-184.4918177972299,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-51.859132307122664,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-78.5836882555603,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-54.58286240810906,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.754316690390902}",25,11,-29.920108119528503,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.754316690390902}",20,5,-57.43186143815646,"{0: 9, 1: 2, 2: 2, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.754316690390902}",20,12,-1.134811483103729,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-94.37757753570513,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-87.94936220372617,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.754316690390902}",25,16,-5.231454128481855,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-23.417270611757115,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-2.5954188880512254,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.754316690390902}",25,0,-48.89271937338683,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.754316690390902}",20,0,-77.81882466571459,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
