trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.95}",30,22,4.296729383047427,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 1, 'e': 0.8999999999999999}",30,0,-132.83648735749588,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 1, 'e': 0.8499999999999999}",25,0,-127.07639883323316,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 1, 'e': 0.7999999999999998}",25,0,-117.08367155559583,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 1, 'e': 0.7499999999999998}",20,0,-189.78415850964933,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
6,False,"{'a': 1, 'e': 0.6999999999999997}",20,0,-22.240295859451813,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 1, 'e': 0.6499999999999997}",30,0,-257.83168461720214,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 4}",0
8,False,"{'a': 1, 'e': 0.5999999999999996}",25,1,-134.5042169324758,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 1}",1
9,False,"{'a': 1, 'e': 0.5499999999999996}",20,0,-78.73065889189373,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 1, 'e': 0.4999999999999996}",30,0,-173.17163007122085,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 1, 'e': 0.4499999999999996}",30,0,-103.22903007649613,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 1, 'e': 0.39999999999999963}",35,0,-164.27312187474246,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 1, 'e': 0.34999999999999964}",25,0,-44.43562428844829,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 1, 'e': 0.29999999999999966}",20,0,-59.13145308357318,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 1, 'e': 0.24999999999999967}",25,0,-21.202273267538637,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 1, 'e': 0.19999999999999968}",20,0,-47.859417056220465,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 1, 'e': 0.1499999999999997}",25,0,-82.4626622003537,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
18,False,"{'a': 1, 'e': 0.09999999999999969}",20,0,-180.22131226271614,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
19,False,"{'a': 1, 'e': 0.049999999999999684}",20,0,-159.51597466363359,"{0: 9, 1: 0, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 1, 'e': -3.191891195797325e-16}",20,0,-74.60827846897209,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 1, 'e': -0.05000000000000032}",30,0,-228.32463692708902,"{0: 17, 1: 3, 2: 3, 3: 4, 4: 3}",0
2,True,"{'a': 1, 'e': -0.10000000000000032}",35,0,-171.02236220383787,"{0: 23, 1: 3, 2: 4, 3: 3, 4: 2}",0
3,True,"{'a': 1, 'e': -0.15000000000000033}",20,0,-51.43271258430155,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 1, 'e': -0.20000000000000034}",20,0,-263.3388081976707,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 5}",0
5,True,"{'a': 1, 'e': -0.25000000000000033}",25,0,-142.89539395413803,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,True,"{'a': 1, 'e': -0.3000000000000003}",20,0,-58.799363768768536,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 1, 'e': -0.3500000000000003}",20,5,-110.06314908739746,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 2}",1
8,True,"{'a': 1, 'e': -0.4000000000000003}",20,0,-57.72133965844406,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 1, 'e': -0.4500000000000003}",35,15,-60.650462343758996,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",1
10,True,"{'a': 1, 'e': -0.5000000000000003}",20,0,-76.1092390510041,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
